"price","average_nr_of_reviews"
0,680.4737
20,89.7112
25,68.6000
30,204.2093
35,76.5882
40,82.7143
45,59.0000
50,136.7521
55,47.9167
60,260.5600
65,161.0000
70,165.0000
75,247.1538
80,326.6364
85,95.0714
90,138.1667
95,93.0182
100,196.3433
105,86.5000
110,739.5714
115,103.0000
120,284.9500
125,86.5833
135,237.0000
140,987.2000
145,238.5714
150,620.5556
160,288.0000
165,303.0000
170,133.0000
175,3660.7500
180,7605.0000
185,44.5000
190,5650.8333
195,586.7778
200,673.8673
