"year(publishedDate)","quarter(publishedDate)","count(*)"
2001,1,9
2001,2,6
2001,3,8
2001,4,11
2002,1,9
2002,2,14
2002,3,5
2002,4,12
2003,1,17
2003,2,9
2003,3,6
2003,4,9
2004,1,14
2004,2,7
2004,3,9
2004,4,5
2005,1,6
2005,2,10
2005,3,4
2005,4,7
2006,1,5
2006,2,9
2006,3,6
2006,4,10
2007,1,10
2007,2,12
2007,3,7
2007,4,10
2008,1,12
2008,2,16
2008,3,6
2008,4,9
2009,1,14
2009,2,10
2009,3,10
2009,4,7
2010,1,12
2010,2,8
2010,3,10
2010,4,11
2011,1,9
2011,2,8
2011,3,9
2011,4,12
2012,1,11
2012,2,8
2012,3,17
2012,4,12
2013,1,13
2013,2,12
2013,3,15
2013,4,13
2014,1,13
2014,2,12
2014,3,12
2014,4,7
2015,1,4
2015,2,11
2015,3,7
2015,4,16
2016,1,8
2016,2,12
2016,3,4
2016,4,7
2017,1,14
2017,2,11
2017,3,7
2017,4,10
2018,1,12
2018,2,12
2018,3,7
2018,4,10
2019,1,12
2019,2,8
2019,3,12
2019,4,7
2020,1,8
2020,2,14
2020,3,13
2020,4,10
2021,1,9
2021,2,13
2021,3,8
2021,4,8
2022,1,11
2022,2,5
2022,3,6
2022,4,14
2023,1,14
2023,2,15
2023,3,11
2023,4,6
2024,1,18
2024,2,8
2024,3,5
2024,4,8
2025,1,7
2025,2,8
2025,3,11
2025,4,4
2026,1,10
2026,2,6
2026,3,13
2026,4,9
2027,1,9
2027,2,10
2027,3,19
2027,4,10
2028,1,7
2028,2,9
2028,3,14
2028,4,14
2029,1,9
2029,2,12
2029,3,11
2029,4,13
2030,1,6
2030,2,4
2030,3,7
2030,4,14
2031,1,4
2031,2,3
2031,3,4
2031,4,4
