"numPublishedLectures","avg(numSubscribers)"
5,7694.5000
6,3072.2000
7,2453.7692
8,3986.6087
9,6608.7778
10,8775.3750
11,4588.2857
12,4709.3871
13,6231.7857
14,3896.2222
15,6367.7273
16,5708.6552
17,9275.8261
18,4941.1786
19,5251.2083
20,8531.3750
21,8323.1154
22,7992.9167
23,3720.7273
24,8741.5172
25,4298.3182
26,6879.6471
27,13587.5882
28,4810.5556
29,3447.9565
30,10330.7000
31,3155.1875
32,5683.5238
33,5531.8889
34,3798.6667
35,5967.5385
36,4109.9500
37,3144.4286
38,5611.0667
39,2369.4286
40,2776.1111
41,7553.4444
42,6974.8000
43,5170.4545
44,5259.4545
45,33811.0000
46,6904.7500
47,3872.3000
48,1849.0000
49,2050.1538
50,15775.1667
51,989.3333
52,3594.0000
53,10133.0000
54,3057.8750
55,17940.2000
56,2807.8571
57,4679.8333
58,6528.4286
59,5249.1250
60,3172.5333
61,6306.6000
62,4158.7143
63,4072.0000
64,3001.3750
65,5011.6250
66,6450.8750
67,15527.5000
68,6894.2000
69,4913.1667
70,2185.8000
71,1531.6667
72,1613.2000
73,6261.5000
74,5094.8000
75,3526.6667
76,1565.5000
77,16484.3000
78,1183.6000
79,1636.3333
80,5950.4286
81,839.5000
82,4580.0000
83,2354.0000
84,10203.0000
85,28640.3333
86,2854.5000
87,6206.5000
88,8479.0000
89,5262.3333
90,6172.5000
91,1642.3333
92,5484.0000
93,8589.6667
94,2932.0000
95,12893.0000
96,10271.5000
97,1509.2500
98,27789.6667
99,4057.0000
100,4409.0000
101,1518.0000
102,2684.5000
103,1706.5000
104,3590.0000
106,326.0000
107,4020.5000
108,1229.0000
109,417.0000
110,3659.0000
111,11912.0000
112,9762.0000
113,12037.0000
114,6111.5000
115,2683.6667
116,367.5000
117,5335.0000
118,6629.0000
119,7722.6667
120,6917.5000
122,3010.5000
123,4373.5000
124,1586.0000
125,17105.2500
126,1908.7500
129,6321.2500
131,5099.0000
132,5962.0000
133,4841.0000
135,4354.0000
136,6013.0000
137,9132.0000
138,9485.3333
140,691.0000
142,2273.0000
143,5549.0000
144,55332.0000
145,1870.0000
147,7407.0000
150,50815.0000
152,1420.0000
154,2497.0000
157,1611.0000
159,16282.0000
160,4373.5000
161,4198.0000
162,3295.0000
168,2244.0000
171,2884.5000
172,7062.0000
173,7489.0000
174,2090.5000
177,9355.0000
178,1703.0000
179,2755.0000
185,26673.0000
188,6420.0000
191,11832.0000
194,40070.0000
195,15862.5000
197,41644.5000
204,1119.0000
207,3119.0000
212,2804.0000
214,602.0000
215,2355.0000
221,6497.0000
224,1874.0000
239,654.0000
246,33788.0000
251,23412.0000
271,1276.0000
281,24861.0000
283,33677.0000
286,28880.0000
301,1284.0000
304,58581.0000
308,8496.0000
316,37141.0000
320,1353.0000
329,45727.0000
330,3012.0000
342,121584.0000
348,4090.0000
353,3542.0000
358,240.0000
384,7501.0000
402,9359.0000
454,6851.0000
458,1926.0000
491,7211.0000
536,842.0000
779,18170.0000
